filename,rel_path,is_swift_mt700,lc_number,issue_date,expiry_date,amount,currency,drawee_bic,drawee_bank,usance_days,usance_basis,applicant,beneficiary,port_loading,port_discharge
징코모둘 -하나은행 LC개설 가전문(2025.08.29).pdf,2025년 모듈 발주/징코모듈/9월 징코모듈 선적서류/새 폴더/징코모둘 -하나은행 LC개설 가전문(2025.08.29).pdf,False,,,,,,,,,,,,,
탑솔라 가전문 -징코솔라.pdf,2025년 모듈 발주/징코모듈/9월 징코모듈 선적서류/새 폴더/탑솔라 가전문 -징코솔라.pdf,True,M0215508NU00274,2025-08-29,2025-11-09,5094373.86,USD,KODBKRSE,산업은행,90,B/L_DATE,"TOPSOLAR CO.,LTD.","ZHEJIANG JINKO SOLAR CO.,LTD.",ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
탑솔라-징코솔라 KDB_SWIFT발신_21992407_20250829152933  (2025.08.29).pdf,2025년 모듈 발주/징코모듈/9월 징코모듈 선적서류/새 폴더/탑솔라-징코솔라 KDB_SWIFT발신_21992407_20250829152933  (2025.08.29).pdf,True,M0215508NU00274,2025-08-29,2025-11-09,5094373.86,USD,KODBKRSE,산업은행,90,B/L_DATE,"TOPSOLAR CO.,LTD.","ZHEJIANG JINKO SOLAR CO.,LTD.",ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
탑솔라-징코솔라 개설전문(하나은행 2025.08.29).pdf,2025년 모듈 발주/징코모듈/9월 징코모듈 선적서류/새 폴더/탑솔라-징코솔라 개설전문(하나은행 2025.08.29).pdf,False,,,,,,,,,,,,,
디원 LC개설 가전문.pdf,2025년 모듈 발주/징코모듈/디원/2차 13.2MW 기업은행 2025.07.21/디원 LC개설 가전문.pdf,False,,,,,,,,,,,,,
디원 LC개설 전문 - 기업은행(2025.07.22).pdf,2025년 모듈 발주/징코모듈/디원/2차 13.2MW 기업은행 2025.07.21/디원 LC개설 전문 - 기업은행(2025.07.22).pdf,False,,,,,,,,,,,,,
KDB_SWIFT발신_21994769_20250721154845(디원-산업은행 2025.07.21).pdf,2025년 모듈 발주/징코모듈/디원/3차 13.9MW 산업은행 2025.07.21/KDB_SWIFT발신_21994769_20250721154845(디원-산업은행 2025.07.21).pdf,True,M0215507NU00356,2025-07-21,2025-11-05,999073.44,USD,KODBKRSE,산업은행,90,B/L_DATE,"THEONE.CO.,LTD.","ZHEJIANG JINKO SOLAR CO.,LTD.",ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
KDB_SWIFT발신_21994769_20251117170215.pdf,2025년 모듈 발주/징코모듈/디원/3차 13.9MW 산업은행 2025.07.21/KDB_SWIFT발신_21994769_20251117170215.pdf,False,,2025-08-29,2026-02-01,,,,,,,,,,
디원  산업은행LC가전문(25.07.21).pdf,2025년 모듈 발주/징코모듈/디원/3차 13.9MW 산업은행 2025.07.21/디원  산업은행LC가전문(25.07.21).pdf,True,M0215507NU00356,2025-07-21,2025-11-05,999073.44,USD,KODBKRSE,산업은행,90,B/L_DATE,"THEONE.CO.,LTD.","ZHEJIANG JINKO SOLAR CO.,LTD.",ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
징코모듈 20MW 개설 전문(2025.03.14).pdf,2025년 모듈 발주/징코모듈/탑솔라/170MW 계약 진행건 - 완료/170MW - 1차 개설 20MW(2025.03.14)/징코모듈 20MW 개설 전문(2025.03.14).pdf,False,,,,,,,,,,,,,
KDB_SWIFT발신_21992407_20250718155945.pdf,2025년 모듈 발주/징코모듈/탑솔라/170MW 계약 진행건 - 완료/170MW - 6차 개설 24.3MW/KDB_SWIFT발신_21992407_20250718155945.pdf,True,M0215507NU00331,2025-07-18,2025-10-07,1746595.44,USD,KODBKRSE,산업은행,90,B/L_DATE,"TOPSOLAR CO.,LTD.","ZHEJIANG JINKO SOLAR CO.,LTD.",ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
LC가전문(25.07.18).pdf,2025년 모듈 발주/징코모듈/탑솔라/170MW 계약 진행건 - 완료/170MW - 6차 개설 24.3MW/LC가전문(25.07.18).pdf,True,M0215507NU00331,2025-07-18,2025-10-07,1746595.44,USD,KODBKRSE,산업은행,90,B/L_DATE,"TOPSOLAR CO.,LTD.","ZHEJIANG JINKO SOLAR CO.,LTD.",ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
탑솔라 신한은행 LC 가전문(2025.06.19).pdf,2025년 모듈 발주/징코모듈/탑솔라/170MW 계약 진행건 - 완료/170MW - 5차 개설 63MW/30MW 2025.06.20  신한은행/탑솔라 신한은행 LC 가전문(2025.06.19).pdf,False,,,,,,,,,,,,,
KDB_SWIFT발신_21992407_20250619171627.pdf,2025년 모듈 발주/징코모듈/탑솔라/170MW 계약 진행건 - 완료/170MW - 5차 개설 63MW/33MW  2025.06.19  산업은행/KDB_SWIFT발신_21992407_20250619171627.pdf,True,M0215506NU00370,2025-06-19,2025-09-04,2438430.48,USD,KODBKRSE,산업은행,90,B/L_DATE,"TOPSOLAR CO.,LTD.","ZHEJIANG JINKO SOLAR CO.,LTD.",ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
LC가전문(25.06.19).pdf,2025년 모듈 발주/징코모듈/탑솔라/170MW 계약 진행건 - 완료/170MW - 5차 개설 63MW/33MW  2025.06.19  산업은행/LC가전문(25.06.19).pdf,True,M0215506NU00370,2025-06-19,2025-09-04,2438430.48,USD,KODBKRSE,산업은행,90,B/L_DATE,"TOPSOLAR CO.,LTD.","ZHEJIANG JINKO SOLAR CO.,LTD.",ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
