file_type,classification,page_count,total_chars,avg_chars_per_page,filename,rel_path
PL,DIGITAL,1,620,620.0,JWSH24110046-PL.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\일반광양 JWSH24110046  7920pcs\JWSH24110046-PL.pdf
CI,DIGITAL,1,1302,1302.0,JWSH24110079-CI.pdf,"2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\일반 광양 JWSH24110079  17,280pcs\JWSH24110079-CI.pdf"
OBL,SCAN,2,0,0.0,JWSH24110079 OBL.pdf,"2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\일반 광양 JWSH24110079  17,280pcs\JWSH24110079 OBL.pdf"
PL,DIGITAL,1,626,626.0,JWSH24110079-PL.pdf,"2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\일반 광양 JWSH24110079  17,280pcs\JWSH24110079-PL.pdf"
CI,DIGITAL,1,1286,1286.0,JWSH24110083 CI.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\광양 일반물량\JWSH24110083 CI.pdf
OBL,SCAN,2,0,0.0,JWSH24110083 OBL.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\광양 일반물량\JWSH24110083 OBL.pdf
PL,DIGITAL,1,628,628.0,JWSH24110083 PL v2.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\광양 일반물량\JWSH24110083 PL v2.pdf
PL,DIGITAL,2,628,314.0,JWSH24110083 PL.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\광양 일반물량\JWSH24110083 PL.pdf
CI,DIGITAL,1,1464,1464.0,JWSH24110084 CI.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\광양 일반물량\JWSH24110084 CI.pdf
OBL,SCAN,2,0,0.0,JWSH24110084 OBL.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\광양 일반물량\JWSH24110084 OBL.pdf
PL,DIGITAL,1,692,692.0,JWSH24110084 PL.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\광양 일반물량\JWSH24110084 PL.pdf
CI,DIGITAL,1,1383,1383.0,11520pcs JWSH24120043 CI.pdf,2024년 모듈발주\징코모듈\선적서류\11520pcs JWSH24120043 CI.pdf
OBL,SCAN,2,0,0.0,11520pcs JWSH24120043 OBL.pdf,2024년 모듈발주\징코모듈\선적서류\11520pcs JWSH24120043 OBL.pdf
PL,DIGITAL,1,663,663.0,11520pcs JWSH24120043 PL.pdf,2024년 모듈발주\징코모듈\선적서류\11520pcs JWSH24120043 PL.pdf
CI,DIGITAL,1,1385,1385.0,12096pcs JWSH24120044 CI.pdf,2024년 모듈발주\징코모듈\선적서류\12096pcs JWSH24120044 CI.pdf
OBL,SCAN,2,0,0.0,12096pcs JWSH24120044 OBL.pdf,2024년 모듈발주\징코모듈\선적서류\12096pcs JWSH24120044 OBL.pdf
PL,DIGITAL,1,667,667.0,12096pcs JWSH24120044 PL.pdf,2024년 모듈발주\징코모듈\선적서류\12096pcs JWSH24120044 PL.pdf
