year,vendor,prefix,file_type,filename,size_bytes,rel_path
2024,징코모듈,JWSH24040006,OBL,1 OBL JWSH24040006-OBL.pdf,819495,2024년 모듈발주\징코모듈\100MW 중 625W 10MW 03.25 선적\Re_ [탑솔라(주)  기자재실] 10MW 선적서류(ETD2024.04.07)\1 OBL JWSH24040006-OBL.pdf
2024,징코모듈,JWSH2408012,OBL,BL JWSH2408012 OBL.pdf,540545,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\디원 25MW\디원 징코\BL JWSH2408012 OBL.pdf
2024,징코모듈,JWSH24090056,OBL,JWSH24090056 OBL.pdf,750034,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\디원 25MW\630WP 5MW 진행 7920pcs\JWSH24090056 OBL.pdf
2024,징코모듈,JWSH24090078,OBL,3.OBL JWSH24090078.pdf,813474,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  25MW 선적  2024.09.13 개설\부산 9.8MW\3.OBL JWSH24090078.pdf
2024,징코모듈,JWSH24090078,OBL,3.OBL JWSH24090078.pdf,813474,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\탑솔라 징코 25MW  2024.07. 분할개설\부산 9.8MW\3.OBL JWSH24090078.pdf
2024,징코모듈,JWSH24100046,OBL,JWSH24100046 OBL.pdf,770072,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  40MW 선적 2024.09.27개설\3차징코 630WP 12672pcs\JWSH24100046 OBL.pdf
2024,징코모듈,JWSH24100047,OBL,JWSH24100047 OBL.pdf,740889,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  40MW 선적 2024.09.27개설\2차 징코 630WP 9216pcs\JWSH24100047 OBL.pdf
2024,징코모듈,JWSH24110001,OBL,JWSH24110001 OBL.pdf,767682,"2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  40MW 선적 2024.09.27개설\6차 SNKO020241008028(11,520PCS)\JWSH24110001 OBL.pdf"
2024,징코모듈,JWSH24110002,OBL,JWSH24110002 OBL.pdf,761903,"2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  40MW 선적 2024.09.27개설\5차 SNKO020241008037(11,520PCS)\JWSH24110002 OBL.pdf"
2024,징코모듈,JWSH24110003,OBL,JWSH24110003 OBL.pdf,777647,"2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  40MW 선적 2024.09.27개설\4차 SNKO020241009053 (12,996PCS)\JWSH24110003 OBL.pdf"
